Date,Headlines
"Thu, Nov. 19","Regulators close in on antitrust suits challenging Facebook's deals for Instagram, WhatsApp - report"
"Thu, Nov. 19",Vietnam threatens to shut down Facebook for not censoring enough 'anti-state' content
"Wed, Nov. 18","Leaders of Facebook, Twitter see need for moderation transparency"
"Tue, Nov. 17","Whale Rock Capital buys Alibaba, exits Alphabet, Apple; Tesla stakes increases, Microsoft slashed"
"Tue, Nov. 17","Newsmax, Parler zero in on Trump support to tackle Fox, Twitter"
"Tue, Nov. 17",Twitter launching disappearing-content offering 'Fleets'
"Tue, Nov. 17",Instagram considers plans to pay publishers - Axios
"Tue, Nov. 17","Lone Pine adds DocuSign, exits Salesforce"
"Tue, Nov. 17",Facebook and Twitter CEOs testify in latest round of Tech vs. Congress
"Mon, Nov. 16",Megacap selling may be more about Biden tax policy than sector malaise – Oppenheimer
"Mon, Nov. 16","Parler takes fight to Twitter, Facebook by doubling user base in under a week"
"Fri, Nov. 13","Dan Loeb's Third Point bolsters Alibaba, Facebook stakes, exits Baxter, adds PG&E: 13F"
"Thu, Nov. 12","Baird finds leads in search trends for Internet, interactive entertainment"
"Thu, Nov. 12","Morgan Stanley sees Facebook, Google, Pinterest gaining from online ad comeback"
"Thu, Nov. 12","Instagram adds Reels video, shopping tabs to home screen"
"Wed, Nov. 11","Facebook, Google extend post-election political ad ban"
"Tue, Nov. 10",India's competition watchdog takes aim at Google
"Fri, Nov. 06",Emergency election measures roll out at Facebook
"Fri, Nov. 06",Facebook's WhatsApp expands mobile payments push in India
"Thu, Nov. 05","Election playbook of low rates, Big Tech marches on: At the Open"
"Wed, Nov. 04","Megacaps jump, rates sink as votes still counted: At the Open"
"Tue, Nov. 03",What Big Tech is looking out for as Election Day begins
"Mon, Nov. 02","The message from Google, Facebook, Twitter, Pinterest and Snap's Q3 results"
"Sat, Oct. 31",Weekly Wrap: The new safety not so safe?
"Fri, Oct. 30",Facebook retrenches as analysts note ad recovery with some 2021 uncertainty
"Fri, Oct. 30","Twitter -20% as analysts pick focus between financial beat, user growth disappointment"
"Thu, Oct. 29","Facebook -1.5% after Q3 beat, double-digit revenue growth signal ad comeback"
"Thu, Oct. 29","Facebook EPS beats by $0.80, beats on revenue"
"Thu, Oct. 29",Big Tech earnings follow Big Tech testimony
"Wed, Oct. 28",Facebook Q3 2020 Earnings Preview
"Wed, Oct. 28",Tech CEOs starting contentious Senate committee hearing on legal protections (updated)
"Wed, Oct. 28",Rocky start to Facebook's political ad ban
"Tue, Oct. 27",Facebook's Zuckerberg says Section 230 is important but needs update
"Tue, Oct. 27",Twitter's Dorsey says eroding Section 230 could 'collapse' Internet communication
"Tue, Oct. 27",Facebook wins dismissal of pension fund's suit over Zuckerberg share class plan
"Tue, Oct. 27",Facebook achieves goal of helping 4M register to vote in the U.S.
"Tue, Oct. 27",Facebook steps into cloud gaming arena
"Mon, Oct. 26",Facebook preps measures for potential election unrest
"Sun, Oct. 25",Sector Watch: Social media needs to justify the Snap rally
"Fri, Oct. 23",BofA weighs election scenarios for impact on Internet names big and small
"Fri, Oct. 23","Facebook's Zuckerberg, Twitter's Dorsey to testify to Senate Judiciary Nov. 17"
"Fri, Oct. 23",Facebook tries to shut down NYU political ad study
"Fri, Oct. 23",Instagram expands test of live-stream tipping feature
"Thu, Oct. 22",FTC huddling as end to Facebook antitrust probe nears - report
"Thu, Oct. 22","Facebook moves to monetize WhatsApp via shopping, cloud services"
"Thu, Oct. 22","Senate Judiciary OKs subpoenas for Facebook, Twitter CEOs over story blocks"
"Thu, Oct. 22",Facebook Dating comes to Europe after long delay
"Wed, Oct. 21",Video service Quibi confirms shutdown after falling far short of goals
"Wed, Oct. 21",Quibi may near shutdown as buyers pass on catalog - report
"Wed, Oct. 21",Social Media enthusiasm outweighing Netflix disappointment: At the Open
"Tue, Oct. 20",Social media stocks get juice as Snap soaks in sunny user numbers
"Tue, Oct. 20","Google shares rise amid landmark U.S. antitrust suit, pledge to fight back"
"Tue, Oct. 20","Jefferies raises targets on digital ad plays, favoring Facebook and Snap"
"Tue, Oct. 20","U.S., 11 states sue Google for antitrust over search and search ads"
"Sat, Oct. 17","Political ad spending passes record $6.7B, a boon for local TV"
"Fri, Oct. 16",Twitter changes policy on hacked materials amid Biden-story flap
"Thu, Oct. 15",FCC Chairman Pai says he'll revisit social-media law to clarify meaning (updated)
"Thu, Oct. 15","Trump's feud with social media amps up with more skirmishes, blocked accounts"
"Thu, Oct. 15",Big Tech sentiment gets shaky after three strong weeks: At the Open
"Wed, Oct. 14",Report on Hunter Biden/Ukraine links hits social media sharing roadblocks
"Wed, Oct. 14","Millennial and Gen Z sustainability focus to boost these names the most, Cowen says"
"Tue, Oct. 13",Global effort to map out rules for stablecoins
"Mon, Oct. 12","Social media stocks jump as Deutsche Bank sees ad recovery, raises targets"
"Mon, Oct. 12",EU crafting Big Tech 'hit list' - FT
"Thu, Oct. 08","Facebook, Alphabet see boosts as Cowen raises digital ad expectations"
"Wed, Oct. 07","Facebook bans political ads after polls close, in new policy"
"Wed, Oct. 07","Microsoft Mixer closure benefited Twitch, not Facebook"
"Wed, Oct. 07",Big Tech holding up after antitrust report: At the Open
"Tue, Oct. 06",Facebook now removing all QAnon content
"Tue, Oct. 06",House antitrust panel's report urges tackling 'monopoly power' at four tech giants
"Tue, Oct. 06",TikTok passes Instagram as teens' second-favorite social app - report
"Tue, Oct. 06","Facebook adds Netflix, Zoom to its Portal devices"
"Tue, Oct. 06","House antitrust report hints at breaking up big tech, lawmaker says"
"Sun, Oct. 04",Facebook says no way on splitting Instagram and WhatsApp
"Sat, Oct. 03",Advertising slid 30% in Q2 - but social media grabbed market share
"Fri, Oct. 02","CEOs of Facebook, Alphabet, Twitter to testify in Congress Oct. 28"
"Thu, Oct. 01",BofA names picks to play growing penetration of online commerce
"Thu, Oct. 01","As Facebook and Google went, so went communications services names: Q3 Spotlight"
"Thu, Oct. 01","Senate panel will subpoena Zuckerberg, Pichai, Dorsey"
"Thu, Oct. 01",Facebook broadens scope of prohibited election ads
"Wed, Sep. 30","Senate committee to vote on subpoenas for CEOs of Google, Facebook, Twitter"
"Wed, Sep. 30",Facebook brings Messenger with disappearing messages to Instagram
"Tue, Sep. 29",Facebook names new chief marketer from within
"Tue, Sep. 29",Communication services edges out of correction territory: At the Open
"Fri, Sep. 25",Apple pauses 30% cut on real-world Facebook Events
"Thu, Sep. 24","Senate committee set to subpoena CEOs of Google, Facebook, Twitter over Section 230"
"Thu, Sep. 24","YouTube expands fact-checking, Facebook readies oversight board"
"Wed, Sep. 23",DOJ proposes congressional limits for Internet-company immunity
"Wed, Sep. 23","Facebook, YouTube and Twitter ink deal with advertisers on harmful content"
"Tue, Sep. 22",Facebook not planning to exit Europe in face of regulator challenge - exec
"Tue, Sep. 22","Megacaps holding up against major levels, despite weakness: At the Open"
"Tue, Sep. 22",Facebook gains after Oppenheimer hikes price target off advertising recovery confidence
"Mon, Sep. 21",Facebook says EU business at risk from regulatory action - report
"Sat, Sep. 19",FAANG reversal and industrial lift may be another signal of renaissance for real economy
"Fri, Sep. 18","Barclays sees valuations at dot-com bubble levels, cuts megacaps"
"Fri, Sep. 18","Instagram, TikTok heads engage as deadlines close in"
"Fri, Sep. 18",Facebook shares in need of resilience to close out week: At the Open
"Fri, Sep. 18",TikTok and WeChat downloads to be barred in U.S. starting Sunday
"Thu, Sep. 17",An antidote for waning tech lurks in materials ETF's biggest winners
"Thu, Sep. 17",Facebook launches Business Suite first to small businesses
"Wed, Sep. 16","Facebook, New York Times team up on augmented-reality journalism"
"Wed, Sep. 16","Facebook launches Project Aria for AR glasses, announces Oculus Quest 2"
"Tue, Sep. 15",FTC prepping possible antitrust suit against Facebook - WSJ
"Tue, Sep. 15",Needham highlights value drivers implying 70% upside for this ad industry player
"Tue, Sep. 15",Kim Kardashian West freezing Instagram and Facebook accounts; shares dip
"Mon, Sep. 14",Facebook buying REI's brand-new HQ for $368M
"Mon, Sep. 14",Internet/platform stocks rise on bullish initiation at KeyBanc
"Mon, Sep. 14","YouTube introduces Shorts, its own TikTok-alike feature"
"Sun, Sep. 13",TikTok rejects Microsoft bid for U.S. operations
"Fri, Sep. 11",Apple loosens App Store rules on game streaming rivals (slightly)
"Thu, Sep. 10",Game-streaming celebrity Ninja returns to Twitch
"Thu, Sep. 10",Facebook harks back to origins with college-only Campus offering
"Wed, Sep. 09",EU regulator orders Facebook to stop transferring user data to America - WSJ
"Fri, Sep. 04","Snap, Zynga, Facebook among biggest beneficiaries of Apple privacy-change reprieve"
"Fri, Sep. 04",Apple market cap falls below $2T; Fab 5 shed $900B in two days
"Thu, Sep. 03",Apple confirms it's delaying privacy measures in iOS 14
"Thu, Sep. 03","Facebook, Twitter flag Trump posts about voting twice"
"Thu, Sep. 03",Apple on pace for biggest one-day drop in market cap in history at $150B
"Thu, Sep. 03",Apple said to delay iOS privacy change upsetting ad market - report
"Thu, Sep. 03",Facebook blocking U.S. political ad purchases week before election
"Tue, Sep. 01",Facebook says it may remove content to reduce regulatory risk
"Tue, Sep. 01",Megacaps looking increasingly Teflon: At the Open
"Tue, Sep. 01",Facebook threatens to pull the plug on news sharing Down Under
"Mon, Aug. 31",Longtime Facebook veteran and partnerships leader resigns
"Mon, Aug. 31",Zuckerberg says Facebook erred in not removing militia post
"Sat, Aug. 29",Publishers face hit from upcoming Apple privacy controls
"Fri, Aug. 28","Facebook, Google withdraw FCC request for undersea cable to Hong Kong"
"Fri, Aug. 28","Facebook's Zuckerberg fires at Apple over App Store, ad changes"
"Fri, Aug. 28",White House interviewing replacements for FTC head - Politico
"Fri, Aug. 28",Facebook allows mainland China ad targeting despite longtime block
"Fri, Aug. 28","Facebook says Apple wouldn't let it notify purchasers about its 30% cut, claimed it was ""irrelevant"""
"Wed, Aug. 26",FAANG (S)? A surging Salesforce makes its case for tech titan inclusion
"Wed, Aug. 26",Facebook says new iOS update could trim in-app ad business by more than half
"Tue, Aug. 25","Facebook adds Shop tab, expands Shops and Instagram checkout; BIGC +21%"
"Tue, Aug. 25","One-third of Americans use TikTok, according to the company"
"Mon, Aug. 24",Facebook gets Street-high target from UBS on shopping potential
"Mon, Aug. 24","Facebook +2% alongside price target increases, Reels praise"
"Sat, Aug. 22",What's powering small cap value ETFs? A relentless US consumer
"Fri, Aug. 21","Facebook losing marketing chief, preparing post-election protections"
"Fri, Aug. 21",Facebook tries to appease regulators with support for data portability
"Thu, Aug. 20","News publishers jump into Apple fray, criticizing App Store terms"
"Thu, Aug. 20",FTC interviews Zuckerberg in its Facebook antitrust probe - Politico
"Thu, Aug. 20",Facebook wins court approval to settle biometric privacy lawsuit
"Wed, Aug. 19","Facebook cracks down on content, accounts linked to QAnon theory with new violence policy"
"Tue, Aug. 18",Facebook will remove Trump posts for violations - COO Sandberg
"Mon, Aug. 17",Buffett finds profits - not religion - in GOLD. But other miners may warrant more attention
"Mon, Aug. 17","Melvin Capital picks Google, Docusign, slashes Amazon, Netflix stake"
"Mon, Aug. 17","Whale Rock adds Square, NXP Semiconductors; sheds Intel, Walt Disney"
"Sun, Aug. 16",Instagram to embed Facebook messenger functionality
"Sat, Aug. 15","Lone Pine Capital exits BABA, adds Booking"
"Sat, Aug. 15","Saudi Wealth Fund switches investment to ETFs from blue-chip stocks, exits Boeing, Citi, Facebook"
"Sat, Aug. 15","Duquesne adds JPMorgan, exits Abbott, cuts Alphabet"
"Fri, Aug. 14",Appaloosa (David Tepper) adds new stakes in AT&T; trims Facebook position
"Fri, Aug. 14","3G Capital buys stakes in Fastly, Zoom, while sheds Alibaba, Facebook"
"Fri, Aug. 14","Facebook criticizes Apple store fees, joining growing dispute"
"Fri, Aug. 14","Baupost hedge fund sheds Cheniere Energy, trims stakes in Colony Capital, PG&E, Univar, Facebook"
"Wed, Aug. 12","Facebook, Snap held talks to buy TikTok rival Dubsmash - report"
"Tue, Aug. 11",Facebook policy hits political content disguised as news - Axios
"Mon, Aug. 10","Second-half Internet stocks: More of the new trends, Baird says"
"Mon, Aug. 10","Shell Asset adds Microsoft, cuts Apple, exits Anglogold Ashanti"
"Sat, Aug. 08",How will stocks perform under different U.S. election scenarios?
"Fri, Aug. 07",Facebook relaxed misinfo rules for conservatives - NBC News
"Fri, Aug. 07",IZEA marketplace Shake adds Instagram Reels alongside TikTok
"Fri, Aug. 07",Sanders goes after pandemic wealth gains as Biden moves closer on taxes
"Thu, Aug. 06",Facebook extends remote work policy to summer 2021
"Thu, Aug. 06",Snap pares losses as top TikTok personality looks more to Snapchat
"Thu, Aug. 06",Social stocks diverge after report of Microsoft's interest in all of TikTok
"Thu, Aug. 06","Facebook, Twitter, YouTube remove Trump posts over coronavirus misinformation"
