Date,Headlines,Labels
21/05/2012,"Facebook (NASDAQ:FB) falls through $38 in premarket trade, -2.7% to $37.20. Have the...",0
21/05/2012,"Facebook (FB -13.2%) tumbles in early trading to $33.20; even after the selloff, the company...",0
21/05/2012,"Facebook's (NASDAQ:FB) IPO marks the end of Silicon Valley's golden age, laments...",0
21/05/2012,Bill Gurley defends Facebook's (FB -9.3%) weak post-IPO showing by pointing out Amazon...,0
21/05/2012,"Henry Blodget sets a target range of $16-$24 for Facebook (FB -11%), based on a valuation of...",0
21/05/2012,Microsoft (NASDAQ:MSFT) has quietly launched a social networking site called So.cl. Rather than...,0
22/05/2012,Facebook (FB -2.4%) continues to fall as the blame game starts over responsibility for its 11%...,0
22/05/2012,Analysts at Facebook's (NASDAQ:FB) lead underwriters cut their revenue estimates ahead of the...,0
22/05/2012,Finra will oversee a process that will try to reconcile the botched trades that resulted from...,0
22/05/2012,It's happening again. Facebook (FB -7%) dives in early trading to $31.65 - shares are now down...,0
22/05/2012,Facebook's (NASDAQ:FB) precipitous decline yesterday tripped a circuit-breaker just 15 minutes...,0
22/05/2012,Maybe Facebook (NASDAQ:FB) won't prove a major boon for newspapers after all: AppData reports...,0
22/05/2012,The SEC and Finra look set to launch separate investigations of the Facebook IPO. Finra Chief...,0
22/05/2012,"Renowned NYU finance prof. Aswath Damodaran assigns Facebook (FB -8.9%) a value of $29/share, a...",0
22/05/2012,As Finra and the SEC investigate allegations that analysts cut their Facebook (FB -8.9%)...,0
22/05/2012,Vanguard's Jack Bogle takes advantage of Facebook's (NASDAQ:FB) plunge and the negative impact...,0
23/05/2012,"Amidst the commotion over what the sell-side told favored clients ahead of the Facebook IPO,...",2
23/05/2012,Needham wades into the carnage that has been Facebook's (NASDAQ:FB) IPO and initiates coverage...,2
23/05/2012,"Facebook (NASDAQ:FB), CEO Mark Zuckerberg, and the IPO underwriters face a class-action suit by...",2
23/05/2012,More on the class-action suit against Facebook and Morgan Stanley: The firm handling the suit...,2
23/05/2012,Morgan Stanley (MS -2.6%) has offered a price adjustment to Facebook (FB +2.5%) investors in the...,2
23/05/2012,"The Angry Birds are flying into Facebook. Angry Birds Friends, the first Facebook (NASDAQ:FB)...",2
23/05/2012,Facebook (NASDAQ:FB) is considering a proposal from the NYSE for the company to list its stock...,2
23/05/2012,Jim Cramer suspects Facebook's (FB +3.2%) reported guidance leak to analysts is the result of...,2
23/05/2012,"Clobbered over the last week due to Facebook's (NASDAQ:FB) less-than-stellar IPO, GSV Capital...",2
24/05/2012,The WSJ details how one of the institutional investors that was notified by an underwriting bank...,1
24/05/2012,Facebook (FB +1.1%) is set to unveil a standalone photo-sharing app called Facebook Camera. The...,1
24/05/2012,"Mark Cuban discloses he bought 150K Facebook (NASDAQ:FB) shares at $33, but says the purchase is...",1
24/05/2012,"Facebook (NASDAQ:FB) paid over $80M to buy social gifting app developer Karma, sources tell...",1
25/05/2012,"After bouncing a little yesterday, Facebook (FB -3.7%) is selling off again after Capstone...",0
25/05/2012,"Facebook (NASDAQ:FB) is reportedly interested in buying Opera Software, maker of the namesake...",0
29/05/2012,"If Facebook (NASDAQ:FB) is serious about buying Opera Software, it may have to pony up over $1B,...",0
29/05/2012,"It looks as if Facebook (NASDAQ:FB), now free of the SEC's 500-shareholder rule, isn't wasting...",0
29/05/2012,Russian search giant Yandex (YNDX +3.4%) catches a bid following reports Facebook (NASDAQ:FB) is...,0
29/05/2012,"In spite of today's rally, Facebook (FB -5.6%) is falling to new post-IPO lows in early trading,...",0
29/05/2012,"Though focused on getting Yahoo's (YHOO) house in order over the short-term, interim (for now)...",0
29/05/2012,Today's selloff in Facebook (FB -9.8%) is happening even though CLSA's James Lee is starting...,0
29/05/2012,"Three weeks after launching an investigation of the deal, The FTC has presented Facebook (FB...",0
29/05/2012,"Before ending its Facebook (NASDAQ:FB) ad efforts, GM execs pressed Facebook to allow it to run...",0
29/05/2012,"""I would say most people would say this [TV sets] is not an area in their life that they're...",0
30/05/2012,It's not just Facebook's (FB +1.5%) ad revenue growth that's slowing down: Henry Blodget notes...,0
30/05/2012,"Facebook's (FB +0.4%) first day of options trading was an active one, and (in-line with the...",0
31/05/2012,Zynga (ZNGA +3.4%) bounces a little after Baird's Colin Sebastian upgrades shares Outperform due...,2
31/05/2012,Facebook (FB -3.4%) can't catch a break. Shares are making new lows today even though Pivotal...,2
31/05/2012,Google (NASDAQ:GOOG) and Facebook (NASDAQ:FB) are vying to take a stake in popular music video...,2
31/05/2012,"Facebook (FB +5.1%) rallied in afternoon trading, and closed at $29.63. Topeka Capital's bullish...",2
31/05/2012,"As rumors of a Facebook (NASDAQ:FB) bid for Opera Software swirl, the social networking colossus...",2
01/06/2012,"Facebook (NASDAQ:FB) is initiated at Outperform with $37 price target at Baird, which says the...",0
01/06/2012,"Fresh off winning its blue oval back, Ford (NYSE:F) plans to market the iconic logo on Facebook...",0
01/06/2012,Facebook (FB -5.9%) has given back all of the gains seen in late trading yesterday. While Baird...,0
01/06/2012,"The poor reception to Facebook's (FB -5.6%) IPO, not to mention the broad selloff that's...",0
01/06/2012,Facebook (NASDAQ:FB) and its array of services will be directly integrated with the next version...,0
04/06/2012,Facebook's new high-growth market: kids? Facebook (NASDAQ:FB) is apparently developing...,0
04/06/2012,PicPlz says it will shut down its photo-sharing service in July. The mobile app was poised to...,0
04/06/2012,Facebook (NASDAQ:FB) is initiated at Underperform with a $25 price target at Bernstein. It could...,0
04/06/2012,Yahoo (YHOO) and Facebook (NASDAQ:FB) are in talks to settle their patent litigation and revive...,0
04/06/2012,"Matt Taibbi weighs in on the Facebook (NASDAQ:FB) IPO fiasco, saying that this and other stories...",0
04/06/2012,Google (NASDAQ:GOOG) is set to launch a new small business marketing solution that leverages...,0
04/06/2012,Facebook (FB -3.6%) has fallen below $27 in the wake of Bernstein's critical report and news of...,0
05/06/2012,"Facebook's (NASDAQ:FB) poor IPO showing and the resulting fallout ""will hurt the funding market...",0
05/06/2012,Napster co-founders Shawn Fanning and Sean Parker (the latter is also a Facebook ex-president)...,0
05/06/2012,Its plans to become a Latin American social networking giant having been thwarted by Facebook...,0
05/06/2012,34% of respondents to a U.S. Reuters survey say they're spending less time on Facebook (FB...,0
